,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
168676,SALARIES OF REGULAR EMPLOYEES,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,"Principal, Elementary ",,,,0.611111072159,NON-PROJECT,ADMINISTRATOR,,59789.0859928,,Regular,,SCHOOL ADMINISTRATION
68251,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Office Support I ,,,,,NON-PROJECT,UNDESIGNATED,,-800.63,,n/a,,EMPLOYEE BENEFITS
208193,Professional Salaries,Basic Educational Services,, CHOIR,,General,School ,0.5,Instruction,,,26482.974452,,,General Fund,
409554,SALARIES FOR OVERTIME,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,Secretary II ,,,,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,1021.2504,,Regular,,SCHOOL ADMINISTRATION
290115,Salaries for Support Personnel,Special Education,,BUS DRIVER,,General,Transportation Office,1.0,Student Transportation,,,31987.689396599995,,,General Fund,
302504,Employee Allowance,Undistributed,,,,General,Social Emotional Learning,,Instructional Leadership,,,-0.91,,,General Fund,
361455,EMPLOYEE BENEFITS,UNDESIGNATED,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",,,DISTRICT WIDE ORGANIZATION UNI,,NON-PROJECT,UNDESIGNATED,,14.47,,n/a,,UNDESIGNATED
11712,General Supplies,Special Education,,,,General,School ,,Instruction,,,3674.13,,,IDEA-B Preschool,
430430,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.75,Food Services,,,22253.512966799997,,,Nat'l Schl Breakfast & Lunch Prog.,
307389,EMPLOYEE BENEFITS,SPECIAL EDUCATION,FEDERAL GDPG FUND - FY ,Secondary Spec Ed Para ,,,,,TITLE VI-IDEA B-MAIN,PARAPROFESSIONAL,,959.13,,Regular,,SPECIAL EDUCATION
438754,Miscellaneous Contracted Srvcs,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,1000.29,,,Title I- Part A,
183483,Copier Rental,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,10000.4,,,General Fund,
226180,Extra Duty/Signing Bonus Pay,Undistributed,,NWSPPR/YRBK DIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,3158.66416055,,,General Fund,
360427,,,LOCAL,Instructional Coach,,,,1.0,,,,107140.82659199998,GENERAL EDUCATION,,,
249991,Misc Operating Expenses,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,1000.05,,,General Fund,
294438,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,,PARENT SUP SPEC,,Account For Learning,School ,0.5,Community Services,,,21798.7411731,,,General Fund,
305321,Salaries for Support Personnel,Undistributed,,FOOD PROD SP V,,General,School ,0.84375,Food Services,,,25348.5036882,,,Nat'l Schl Breakfast & Lunch Prog.,
264511,Electricity,Undistributed,,,,General,Administration Building,,Plant Maintenance & Operations,,,301228.56,,,General Fund,
304900,Purchased Services,,Support Services - Administration,,,Purchased Services,,,Office Of The Superintendent Services*,,,110499.85,,,Special Trust,ITEMK - NEW SCHOOLS 
85581,Professional Salaries,Undistributed,,LIBRARIAN- CENT,,General,Library Media Center,1.0,Instructional Resource & Media Services,,,89346.5774541,,,General Fund,
309944,General Supplies,Career and Technology,,,,Culinary Arts,School ,,Instruction,,,5199.91,,,General Fund,
11019,Extra Duty/Signing Bonus Pay,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,1420.62398642,,,General Fund,
330038,SALARIES OF REGULAR EMPLOYEES,SPECIAL EDUCATION-VISION,GENERAL FUND,"Teacher, Itinerant ",,,SPECIAL EDUCATION,0.259014688569,SPECIAL EDUCATION - ITINERANT,PROFESSIONAL-INSTRUCTIONAL,,10573.291406799995,SPEECH & LANGUAGE,n/a,,SPECIAL EDUCATION
449553,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,,,,General Fund,
140563,Professional Dues,Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,349.97,,,General Fund,
286362,Personal Services - Other Compensation,Instruction - Regular,,,,,,0.0,,Career Ladder I/Ext Learning,Regular Instruction,569.51,,,General Purpose School,
134280,FOOD,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,(blank),,,,,NON-PROJECT,UNDESIGNATED,,30862.59,FOOD SERVICES,Regular,,FOOD SERVICES OPERATIONS
337526,SALARIES OF PART TIME EMPLOYEE,GENERAL MIDDLE/JUNIOR HIGH SCH,GENERAL FUND,"Teacher, Short Term Sub ",,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,109.11793846799999,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
81369,Rentals - Operating Leases,Undistributed,,,Warehousing,Rentals - Vehicles,Undistributed,,Facilities Maintenance And Operations,,,9678.0,,,General Operating Fund,
92870,Subs for Support Personnel,Undistributed,,,,General,Educator Development,,Curriculum & Instructional Staff Development,,,0.15,,,General Fund,
423173,Reading Materials including Library Books,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,0.27,,,General Fund,
218245,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1.0,Instruction,,,,,,General Fund,
149802,EMPLOYER PD MED CONTRIBUTION,EARLY CHILDHOOD,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary ",,,,,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,,252.19,,Regular,,REGULAR INSTRUCTION
345276,Field Trips,Career and Technology,,,,General,School to Work,,Instruction,,,12000.14,,,General Fund,
434947,,Misc,,Professional Asst III ,,,ADMIN. SERVICES,1.0,,NONE ,,50452.73,,,General Fund,
192496,Professional Salaries,Basic Educational Services,, AD SOC SC,,General,School ,1.0,Instruction,,,57576.9838714,,,General Fund,
322424,,,LOCAL,SCHOOL MAINTENANCE WORKER,,,,1.0,,,,57698.62631950001,CUSTODIAL SERVICES,,,
19669,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher,Retrd Shrt Term Sub ",,,TEACHER LEARNING & LEADERSHIP,0.004310344827590001,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,,128.844984925,TEACHER LEARNING & LEADERSHIP,n/a,,INSTRUCTIONAL STAFF
148890,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,,,,0.0,,SUBSTITUTE TEACHER,Education Jobs Program,213.16,,,School Federal Projects,EDUCATION JOBS FUND
448712,Career Ladder,Basic Educational Services,,CL ,,General,School ,,Instruction,,,3276.55535327,,,General Fund,
386476,Professional Salaries,Special Education,,T-EL/SE SOC BEH,,General,School ,1.0,Instruction,,,52739.6008692,,,General Fund,
230823,Professional Salaries,Basic Educational Services,,T-HS PHYS/CHEM,,General,School ,1.0,Instruction,,,57578.1838714,,,General Fund,
205336,Extra Duty/Signing Bonus Pay,Athletics and Related,,CHEERLEADER DIR,,General,School ,,Cocurricular & Extra Curricular Activities,,,1913.07470786,,,Athletics,
170112,Professional Salaries,Special Education,,T-MS/SE COMBIN,,General,School ,1.0,Instruction,,,57150.5922138,,,General Fund,
3976,Professional Salaries,Undistributed,,ELEM PRINCIPAL,,General,School ,1.0,School Leadership,,,102700.296571,,,General Fund,
175082,ADDITIONAL/EXTRA DUTY PAY/STIP,AFTER SCHOOL PROGRAMS,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",,,,,LIGHTS ON AFTER SCHOOL ,PROFESSIONAL-INSTRUCTIONAL,,760.9579200000002,,Regular,,COCURRICULAR ED/ACTIVITIES
319658,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Bus Driver  hr ,,,GARAGE,,NON-PROJECT,UNDESIGNATED,,-659.62,,n/a,,EMPLOYEE BENEFITS
324585,SALARIES OF PART TIME EMPLOYEE,FEMALE ATHLETICS/SPORTS ACTIVI,PUPIL ACTIVITY FUND,Misc Fee Basis ,,,ATHLETICS & STUDENT ACTIVITIES,,NON-PROJECT,OFFICE/ADMINISTRATIVE SUPPORT,,91.964,ATHLETICS,n/a,,COCURRICULAR ED/ACTIVITIES
294557,Student Meals/Room/Other,Undistributed,,,,General,Elementary Music,,Cocurricular & Extra Curricular Activities,,,2245.03,,,General Fund,
100159,Coaching Supplement,,,FOOTBALL COACH ASSIS,,,,,,,,3843.52,,,,
135066,Regular *,,Regular Instruction,"TCHR, KINDERGARTEN",,Certificated Employees Salaries And Wages,EN OTH CERTIFICATED PERSON,1.0,Elementary,,,101688.554016,TEACHER,,General,SCHOOL BASED MANAGEMENT
421230,,,,,,,,,,,,241.41,,,,
376138,Other Miscellaneous,,Fiscal Services,,,Other Miscellaneous Expenditures *,,,Other Fiscal Services,,,-902.0,,,Miscellaneous Federal Grants,ROCK HOF 
223982,Salaries for Support Personnel,Accelerated Education,,TCHR ASST- SP E,,Stud Support,School ,1.0,Instruction,,,28186.512340200006,,,General Fund,
421803,Reproduction Services,Accelerated Education,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,399.05,,,General Fund,
25199,OTHER SUPPORT PERSONNEL       ,,,HEAD GARAGE MECHANIC          ,,,TRANSPORTATION                ,0.85,PUPIL TRANSPORTATION SERVICES ,,,49549.9969237,,,GENERAL FUND                  ,
403489,Equipment Maintenance Repairs,Basic Educational Services,,,,Band,School ,,Instruction,,,32099.47,,,General Fund,
226877,Technical Equipment,,Support Services - Instructional Staff,,,Equipment *,,,Service Area Direction *,,,1721.95,,,General,INVENTORY & DISTRIBUTION
424861,SUPPLIES,Misc,MISCELLANEOUS,,,,,,MAINTENANCE AND OPERATING,,,704.64,,,General Fund,
170896,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,CHARTER,0.0,BASIC (FEFP K-12)             ,,,153.78,,,CONVERSION CHARTER SCHOOLS    ,
253242,Other Utilities,Undistributed,,,Child Nutrition,Waste Water Treatment And Sanitation,School ,,Facilities Maintenance And Operations,,,1816.1,,,National School Breakfast And Lunch Program,
374443,Salaries for Support Personnel,Undistributed,,BUS DRIVER,,General,Transportation Office,1.0,Student Transportation,,,31168.313580500002,,,General Fund,
59524,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Psychologist ,,,,,EMPLOYEE RETIREMENT,UNDESIGNATED,,844.35,,n/a,,EMPLOYEE BENEFITS
65552,,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,3000.11,,,General Fund,
269916,BOOKS AND PERIODICALS,BOOST PROGRAM,LEVY OVERRIDE,(blank),,,,,SCHOOL LIBRARY MATERIALS,UNDESIGNATED,,2216.95,EDUCATIONAL RESOURCE SERVICES,Regular,,REGULAR INSTRUCTION
24041,General Supplies,Basic Educational Services,,,,Dance,School ,,Instruction,,,1840.39,,,General Fund,
248688,Extracurricular Supp,,,EXTRA CURRICULAR SPO,,,,,,,,1830.23,,,,
366568,Reading Materials including Library Books,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,School Leadership,,,999.4,,,Title I- Part A,
99068,Salaries for Support Personnel,Undistributed,,FIELD TECH II,,General,Network Support,1.0,Data Processing Services,,,44317.623593,,,General Fund,
147833,Classroom Supplies,,Community Services,,,General Supplies *,,,Non-Public School Services *,,,-2120.82,,,Title I - Disadvantaged Children/Targeted Assistance,NON-PUBLIC
426858,,,,TRAVEL,,,,,,,,233.85,,,,
132419,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, BASKETBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,2075.06505707,,,Athletics,
150132,WORKSHOP PARTICIPANT          ,,,"TEACHER, KG                   ",,,STAFF DEV AND INSTR MEDIA     ,,INST STAFF TRAINING SVCS      ,,,80.28,,,GENERAL FUND                  ,STAFF DEV AND INSTR MEDIA     
92551,Reproduction Services,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,1999.92,,,Title I- Part A,
317974,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,,,,0.0,,RETIREE SUBSTITUTE TEACHER,Elementary School Reading,66.46,,,General Purpose School,
145255,Salaries for Support Personnel,,,Food Service Vacancies,,,Food Service,120.1,,,,1365532.5401299999,,,General Fund,
420835,Non Food,Undistributed,,,,Warehouse Operations,School ,,Food Services,,,1538.18,,,Nat'l Schl Breakfast & Lunch Prog.,
410852,Personal Services - Substitute Teachers Certified,Instruction - Regular,,,,,,0.0,,SUBSTITUTE TEACHER,Regular Instruction,56.76,,,General Purpose School,
342286,Classroom Supplies,,Special Instruction,,,General Supplies *,,,Disadvantaged Youth *,,,-4500.77,,,Title I - Disadvantaged Children/Targeted Assistance,ESEA TITLE I
375270,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,MEDIA CENTERS,MEDIA CENTERS,,,,,,EDUCATIONAL MEDIA SERVICE,,,-1377.91,,,General Fund,
217527,Professional Salaries,Bilingual Education,,T-EL 2ND BIL,,General,School ,1.0,Instruction,,,52852.5436664,,,General Fund,
124221,RENTAL OF EQUIPMENT,ITEMGB - BUSINESS SERVICES,ITEMGB - STATE GDPG FUND,(blank),,,OPPORTUNITY SCHOOL,,NON-PROJECT,UNDESIGNATED,,57212.82,ADULT VOC ED OPPORTUNITY,Alternative,,SCHOOL ADMINISTRATION
291941,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,"TEACHER, FIFTH                ",WRITING TEAMS                 ,,School ,,INST & CURRICULUM DEV SVCS    ,,,305.12,,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
295153,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Food Service Worker II ,,,,,NON-PROJECT,UNDESIGNATED,,-41.69,,n/a,,EMPLOYEE BENEFITS
297407,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Elementary ",,,TEACHER LEARNING & LEADERSHIP,,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,247.33088,TEACHER LEARNING & LEADERSHIP,n/a,,INSTRUCTIONAL STAFF
22604,EMPLOYEE BENEFITS,SPECIAL EDUCATION,GENERAL FUND,Elementary Spec Ed Para ,,,,,SPECIAL ED. - SEVERE NEEDS,PARAPROFESSIONAL,,162.64999999999995,SEVERE DISABILITIES,Regular,,SPECIAL EDUCATION
124719,EMPLOYEE BENEFITS,SPECIAL EDUCATION-CONVERSION,GENERAL FUND,Teacher,,,,,SPECIAL ED. - MILD/MODERATE,PROFESSIONAL-INSTRUCTIONAL,,1189.39,,Regular,,SPECIAL EDUCATION
348859,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,School ,0.0,INSTRUCTIONAL MEDIA SERVICES  ,,,153.07000000000005,,,GENERAL FUND                  ,
7809,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,60231.42,,,Title I- Part A,
173532,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1.0,Plant Maintenance & Operations,,,29019.0492918,,,General Fund,
23747,EMPLOYEE BENEFITS,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,14.67,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
194972,Salaries for Support Personnel,Accelerated Education,,DROPOUT INT SPE,,Drop Out Initiative,School ,1.0,Social Work Services,,,42436.435489499985,,,General Fund,
445895,,,LOCAL,PROJECT COORDINATOR (EG),,,SPECIAL EDUCATION - LEA,1.0,,,,48853.8578641,STRATEGIC MANAGEMENT,,,
209601,Salaries Or Wages For Support Personnel,Undistributed,Operations,"CLERICAL, SCHOOL ADMIN.",All Campus Payroll,Salaries Or Wages For Support Personnel,School ,1.0,School Leadership,GENERAL CLERICAL,Undistributed,23886.287921000006,,,General Operating Fund,REGULAR PAY
131327,Professional Salaries,Basic Educational Services,, MATH,,General,School ,1.0,Instruction,,,52739.6008692,,,General Fund,
346839,General Supplies,Career and Technology,,,,Tech Lab,School ,,Instruction,,,1250.86,,,General Fund,
425899,Extra Duty/Signing Bonus Pay,Basic Educational Services,,NATIONAL BOARD,,National Board,School ,,Instruction,,,2185.30059892,,,General Fund,
428338,General Supplies,Basic Educational Services,,,,Music Lab,School ,,Instruction,,,409.31,,,General Fund,
206630,Professional Salaries,Special Education,,T-EL/SE ELY CHI,,General,School ,1.0,Instruction,,,53549.63208919999,,,General Fund,
409583,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary ",,,ELEMENTARY EDUCATION,,EMPLOYEE RETIREMENT,UNDESIGNATED,,865.47,,n/a,,EMPLOYEE BENEFITS
6668,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Psychologist ,,,,,NON-PROJECT,UNDESIGNATED,,-288.16,,n/a,,EMPLOYEE BENEFITS
52932,Extra Duty/Signing Bonus Pay,Undistributed,,MS STUDENT COUN,,General,School ,,Cocurricular & Extra Curricular Activities,,,1599.4706124000004,,,General Fund,
115448,BOOKS (OTHER THAN TEXTBOOKS) AND PERIODICALS,ARRA - Title I Grants to LEAs,TITLE I-A ARRA OF  TARGETED ASSISTANCE,,,,,,INSTRUCTION,,,7479.3899999999985,,,Title I,
315146,Reading Materials including Library Books,Undistributed,,,,General,Science and Health,,Instructional Leadership,,,999.87,,,General Fund,
195412,Salaries Or Wages For Support Personnel,Undistributed,Operations,"TRANSPORTATION,BUS DRIVERS,REG",Transportation Department,Salaries Or Wages For Support Personnel,Undistributed,0.35,Transportation,BUS DRIVER,Transportation - Bus Drivers,7041.79888409,,,General Operating Fund,REGULAR PAY
92505,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher, Short Term Sub ",,,MATH / SCIENCE,0.004310344827590001,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,,110.14793846799999,TEACHER LEARNING & LEADERSHIP,n/a,,INSTRUCTIONAL STAFF
153973,SALARIES OF REGULAR EMPLOYEES,FOOD PREPARATION/SERVING,FOOD SERVICE FUND,"Manager, Food Service I ",,,FOOD AND NUTRITION SERVICES,0.08299667749,NON-PROJECT,"CRAFTS, TRADES, AND SERVICES",,2014.49516281,FOOD SERVICES,n/a,,FOOD SERVICES OPERATIONS
377410,SALARIES OF REGULAR EMPLOYEES,SUPPORT SERVICES-SCHOOL ADMIN,GENERAL FUND,"Principal, Asst High Sch ",,,,0.998629027361,NON-PROJECT,ADMINISTRATOR,,94016.12073039998,,Regular,,SCHOOL ADMINISTRATION
369737,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,"Teacher, Super Sub Rtd D/D ",,,,0.004310344827590001,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,,180.7874327,,Turnaround,,INSTRUCTIONAL STAFF
22281,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,279.74,,,IDEA-B Formula,
42092,COMMUNICATION,MEDIA CENTERS,MEDIA CENTERS,,,,ADMIN. SERVICES,,EDUCATIONAL MEDIA SERVICE,,,738.4300000000002,,,General Fund,
235595,General Supplies,Basic Educational Services,,,,Science,School ,,Instruction,,,500.25,,,General Fund,
220631,EMPLOYEE BENEFITS,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND - FY ,"Teacher,Retrd Shrt Term Sub ",,,,,SCHOOL IMPROVEMENT GRANT,PROFESSIONAL-INSTRUCTIONAL,,2.92,,Regular,,INSTRUCTIONAL STAFF
400297,SALARIES OF REGULAR EMPLOYEES,"SPECIAL ED-M/M HIGH SEC, VOC",ARRA - STIMULUS,"Teacher, Disability Access ",,,,,IDEA ARRA,PROFESSIONAL-INSTRUCTIONAL,,2634.5029600000007,,Regular,,SPECIAL EDUCATION
427669,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,Budget Analyst ,,,BUDGETARY SERVICES,,NON-PROJECT,UNDESIGNATED,,-55.93,,n/a,,EMPLOYEE BENEFITS
449442,SERVICES PURCH,STAFF SERVICES,GENERAL FUND,(blank),,,HUMAN RESOURCES,,NON-PROJECT,UNDESIGNATED,,4796.8,PERSONNEL SERVICES,n/a,,CENTRAL
16253,SALARIES OF PART TIME EMPLOYEE,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,"Teacher, Short Term Sub ",,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,PROFESSIONAL-INSTRUCTIONAL,,109.407938468,TEACHER SUBS,Regular,,REGULAR INSTRUCTION
103463,General Supplies,Accelerated Education,,,,High School-Summer Programs ,Summer School,,Instruction,,,3391.16,,,General Fund,
319286,Extra Duty/Signing Bonus Pay,Bilingual Education,,,,General,School ,,Instruction,,,61731.2418342,,,General Fund,
389825,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1.0,Instruction,,,61201.7816788,,,General Fund,
270076,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.78125,Food Services,,,22210.9800691,,,Nat'l Schl Breakfast & Lunch Prog.,
86576,Employee Allowance,Special Education,,TRAVEL,,General,Center,,Instruction,,,2870.04568947,,,General Fund,
64863,Equipment Maintenance Repairs,Basic Educational Services,,,,Orchestra,School ,,Instruction,,,2480.34,,,General Fund,
