,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
285176,Professional Development,ISPD,School Reported,School,Poverty,Instructional Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","SKILLS SPECIALIST, ADITIONAL",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,208.864409291,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
285242,Professional Development,ISPD,Shared Services,Non-School,Special Education,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,ARRA - STIMULUS,"Teacher, Short Term Sub ",n/a,,,SPECIAL EDUCATION,0.004310344827590001,IDEA ARRA,,PROFESSIONAL-INSTRUCTIONAL,109.72793846799999,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
285365,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,GENERAL EDUCATION,LOCAL,Teacher,,,,,1.0,,,,91913.2225116,,,
285838,Facilities & Maintenance,O&M,Shared Services,Non-School,NO_LABEL,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodial Helper - Day ,New/Closed Schl,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",444.81,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
285885,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TRANSPORTATION,GENERAL FUND,Special Needs Bus Asst ,n/a,,,GARAGE,,NON-PROJECT,,PARAPROFESSIONAL,602.39,TRANSPORTATION-OPERATIONS,,STUDENT TRANSPORTATION
285932,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Aide (Afterschool),,,,OFC COM & ED PROG-AFTER SCHOOL AIDES,0.025,,,,923.011947218,,,
286096,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",OTHER SUPPORT PERSONNEL       ,,,CUSTODIAN                     ,,,,CHARTER,1.0,OPERATION OF PLANT            ,,,28768.9010867,,CONVERSION CHARTER SCHOOLS    ,
286435,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Payment for the Special Education of Students who Reside in the District*,,Special Instruction,,,,Tuition And Other Similar Payments,,,Other Special *,,,-0.9,,General,SPECIAL PROJECTS-FINANCIA
286736,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Library Media Center ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-9.55,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
286989,Extended Time & Tutoring,Instruction,School Reported,School,At Risk,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,State Ed. Allotment,"TEACHER, REGULAR",,Science Extended Day,Extended Day,School ,,Instruction,Special Programs,TEACHER BACHELOR,546.1670876530001,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,EXTENDED DAYS
287097,Physical Health & Services,Pupil Services & Enrichment,School on Central Budgets,Non-School,Special Education,Occupational Therapist,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,FEDERAL GDPG FUND - FY ,Occupational Therapist ,n/a,,,SPECIAL EDUCATION,,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-INSTRUCTIONAL,232.25,SPECIAL EDUCATION-OT,,SPECIAL EDUCATION
287665,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,SCHOOL CLINIC ADMINISTRATION,,,Salaries And Wages For Teachers And Other Professi,School ,0.03,Health Services,All Campus Payroll,NURSE,1611.4861428200004,PRE-K,General Operating Fund,REGULAR PAY
287893,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,"Teacher, Elementary ",n/a,,,PERSONNEL-PAID LEAVE,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,42.08,STAFF SERVICES,,CENTRAL
288163,Curriculum Development,ISPD,Shared Services,Non-School,Gifted,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS AND PERIODICALS,GIFTED AND TALENTED,STATE AND LOCAL GDPG FUND,(blank),n/a,,,GIFTED AND TALENTED,,STATE - GIFTED AND TALENTED,,UNDESIGNATED,12437.75,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
288258,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,"MEDICAL, SURGICAL AND LAB",HEALTH SERVICES,LOCAL,,,,,,,,,SUPPLIES AND MATERIALS,1001.17,STUDENT SUPPORT SERVICES,LOCAL FUND,
288546,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,413.84,PRIMARY GRADES PROGRAM ,General Fund,
288667,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Clinic Assistant,,,,,1.0,,,CLINIC ASSISTANT ,31314.51,NURSES,General Fund,
289445,Recruitment,ISPD,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,GENERAL SUPPLIES,HUMAN RESOURCES RECRUITMENT,DISTRICT SPECIAL REVENUE FUNDS,(blank),n/a,,,HUMAN RESOURCES,,NEW TEACHER RECRUITMENT,,UNDESIGNATED,117.01,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
289642,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,129.36498492500002,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
290260,School Administration,Leadership,School Reported,School,Unspecified,Vice Principal,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Assistant Principals,,,ASSISTANT PRINCIPAL - MIDDLE,,Office of Principal,,,1.0,,,ASST PRINCIPAL,79068.40000000001,Principal's Office,General Purpose School,
290905,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Office Supplies,,Support Services - Central,,,,General Supplies *,,,Public Information Services,,,19017.34,,General,STRATEGIC COMMUNICATIONS
291776,Library & Media,Instruction,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,FEDERAL GDPG FUND - FY ,Tech Prep Resource ,Regular,,,,,CARL PERKINS,,PARAPROFESSIONAL,1278.5,TECHNICAL ED/COMPUTER TECH,,VOCATIONAL EDUCATION
293437,Enrichment,Pupil Services & Enrichment,Shared Services,Non-School,Unspecified,Other,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Transportation Department,BUS DRIVER,282.27,Undistributed,General Operating Fund,FIELD TRIPS
293743,Extended Time & Tutoring,Instruction,School Reported,School,ELL,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Title Iii Part A - Lep,"TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,33.4799682587,Bilingual Education And Special Language Programs,Title Iii Part A - Lep,EXTENDED DAYS
293747,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Community Services,,,,Supplies And Materials,,,Other Community Services *,,,78.85000000000002,,Title I - Disadvantaged Children/Targeted Assistance, ARRA PI/HOMELESS
293873,Facilities & Maintenance,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,MAINTENANCE AND OPERATING,,,-3248.0,Misc,General Fund,
293911,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,PURCHASED FOOD,,SCHOOL NUTRITION SERVICE,,,,,,,SCHOOL NUTRITION,,,1283.86,Misc,School Nutrition Service Fund,
294066,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Software Materials,,Support Services - Instructional Staff,,,,General Supplies *,,,Instruction And Curriculum Development Services *,,,,,Special Trust,ITEMS FOUNDATION-NOV 
294161,School Administration,Leadership,School Reported,School,Special Education,Vice Principal,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Idea Part B Formula,SCHOOL PRINCIPAL,,,Extra Duty Wages,School ,,School Leadership,Instruction And Curriculum,ASST PRIN MIDDLE SCHOOL,292.273323058,Services To Students With Disabilities (Special Education),Idea Part B Formula,EXTENDED DAYS
294199,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian-Part Time ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",25.03,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
294518,Substitute Compensation,Instruction,School Reported,School,Unspecified,Teacher,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,"Teacher, Secondary (High) ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,72.37768000000001,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
294657,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,SCHOOL CLINIC ADMINISTRATION,,Undistributed,Salaries And Wages For Teachers And Other Professi,School ,1.0,Health Services,All Campus Payroll,NURSE,61422.82562690001,Undistributed,General Operating Fund,REGULAR PAY
294734,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,INTELLECTUALLY GIFTED STUDENT,,,,,,,INSTRUCTION,,,524.99,PROGRAM FOR INTELLECTUALLY GIFTED STUDENTS: CATEGORY VI,General Fund,
295077,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,0.89,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
295167,Security & Safety,O&M,School Reported,School,Unspecified,School Monitor/Security,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,High School,SECURITY OFFICER,,,Extra Duty Pay/Overtime For Support Personnel,School ,,Extracurricular Activities,,POLICE PATROL MAN,171.67,Undistributed,Student Activity Fund,OVERTIME
295638,Special Population Program Management & Support,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,TRAVEL - EMPLOYEES,,STATE PRESCHOOL HANDICAPPED - INSTRUCT,,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,271.89,PRESCHOOL HANDICAPPED STATE GRANT,General Fund,
295648,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.004310344827590001,CORE MATTERS,,PROFESSIONAL-INSTRUCTIONAL,109.657938468,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
295684,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse Aide,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Head Start,CLINIC AIDE,,Regular Salary,Salaries Or Wages For Support Personnel,School ,0.06,Health Services,Instruction And Curriculum,TEACHER BACHELOR,3039.42711067,PRE-K,Head Start,REGULAR PAY
296049,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,Secretary II ,Regular,,,,,NON-PROJECT,,OFFICE/ADMINISTRATIVE SUPPORT,930.32,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
296299,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,873.78,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
296319,Facilities Planning,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED COMPUTER HARDW,,,,,,,GROWTH                        ,,"PLANNING,RES,DEV,& EVAL       ",,,570.21,,GENERAL FUND                  ,GROWTH                        
296364,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.11,Instruction,All Campus Payroll,TEACHER MASTER,6276.41001534,Basic Educational Services,General Operating Fund,REGULAR PAY
296672,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Non-Position,Travel & Conferences,Non PreK,PreK-12 Operating,"Materials, Supplies, and Other",,,,Employee Travel,,,District Wide Resources,0.0,Operation of Plant,,,1879.96,Operations,General Purpose School,
296690,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,0.0,,,CCOACH CERT TCHRACCT,8363.02,Instruction - Regular,General Purpose School,
296716,Physical Health & Services,NO_LABEL,School Reported,School,NO_LABEL,Nurse Aide,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Clinic Assistant,,,,,1.0,,,CLINIC ASSISTANT ,25943.72,NURSES,General Fund,
296739,Curriculum Development,ISPD,Leadership & Management,Non-School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,PROGRAM SPECIALIST            ,,,,PROGRAM ACCOUNTABILITY        ,,INST & CURRICULUM DEV SVCS    ,WRITING TEAMS                 ,,337.98,,GENERAL FUND                  ,GAP TESTING                   
296888,Untracked Budget Set-Aside,Untracked Budget Set-Aside,Shared Services,Non-School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Supplies and Materials,,Support Services - Instructional Staff,,,,Supplies And Materials,,,Instruction And Curriculum Development Services *,,,7383.57,,Special Trust,NIKE-LET ME PLAY
297131,"Finance, Budget, Purchasing & Distribution",Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"WAREHOUSEMEN,CENTRAL RECEIVING",,,Salaries Or Wages For Support Personnel,Undistributed,0.65,Facilities Maintenance And Operations,Warehousing,CAMPUS MONITOR,13012.4522663,Undistributed,General Operating Fund,REGULAR PAY
298201,Research & Accountability,Leadership,School Reported,School,Unspecified,NO_LABEL,Contracted Services,Non PreK,PreK-12 Operating,Miscellaneous Contracted Services,,,,,Advanced Placement,Miscellaneous Contracted Services,School ,,"""Guidance, Counseling And Evaluation Services""",Instruction And Curriculum,,826.6,High School Allotment,General Operating Fund,
298580,Student Assignment,Leadership,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,PUPIL RECORDS,GENERAL FUND,Office Support II ,n/a,,,ADMISSIONS AND STUDENT RECORDS,,NON-PROJECT,,OFFICE/ADMINISTRATIVE SUPPORT,1193.3208,STUDENT RECORDS,,STUDENTS
298590,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,ARRA - STIMULUS,"Teacher, Short Term Sub ",Regular,,,,,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,104.20064,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
298906,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Classroom Supplies,,Community Services,,,,General Supplies *,,,Other Community Services *,,,-281.25,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I C/O-ENCUMBR
299001,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,0.82,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
299086,Other Non-Compensation,Instruction,School Reported,School,PreK,Non-Position,Contracted Services,PreK,PreK-12 Operating,OTHER PROFESSIONAL SERVICES,,DISTRICT SPECIAL REVENUE FUNDS,(blank),Regular,,,,,TUITION BASED - ECE,,UNDESIGNATED,204.47,EARLY CHILDHOOD,,REGULAR INSTRUCTION
299685,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Week,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,104.688551389,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
299862,School Administration,Leadership,School Reported,School,Unspecified,NO_LABEL,Travel & Conferences,NO_LABEL,PreK-12 Operating,CONFERENCE REGISTRATION       ,,,,,,,School ,,SCH ADMIN (OFFICE OF PRINC)   ,,,299.19,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
300111,Library & Media,Instruction,Leadership & Management,Non-School,NO_LABEL,NO_LABEL,Rent/Utilities,NO_LABEL,PreK-12 Operating,COMMUNICATION,,MEDIA CENTERS,,,,,ADMIN. SERVICES,,EDUCATIONAL MEDIA SERVICE,,,-85.27,MEDIA CENTERS,General Fund,
300551,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Custodian Asst II ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,273.81,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
300858,Communications,Leadership,Leadership & Management,Non-School,Unspecified,Sec/Clerk/Other Admin,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"CLERICAL, TEMPORARY",,,Temporary / Part-Time Support Personnel,Undistributed,,Community Services,Public Relations Department,TEACHER BACHELOR,222.716921337,Undistributed,General Operating Fund,MISCELLANEOUS 
301295,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Specialist III, PC App ",n/a,,,CUSTOMER RELATIONS MANAGEMENT,,NON-PROJECT,,UNDESIGNATED,-1307.0400000000004,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
301476,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Week,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,259.934825534,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
301650,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Postage,,Community Services,,,,Communications *,,,Other Community Services *,,,-269.12,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I PARENT-PUBLI
301806,Development & Fundraising,Business Services,Leadership & Management,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,ADM/PROF,Fiscal Services,SR FIN SUPPORT SPEC FUND PROGS,,,,BUDGET DIVISION,1.0,Other Fiscal Services,,,82402.27024910001,,General,GRANTS MANAGEMENT
